2016-06-14 00:00:19 220.181.108.183 browse   danmaku.us . "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2016-06-14 00:14:24 42.156.139.102  browse   danmaku.us PmWiki.AccessKeys "" "YisouSpider"
2016-06-14 00:22:47 42.156.136.42   browse   direct.danmaku.us PmWiki.Glossary "" "YisouSpider"
2016-06-14 00:37:04 42.156.139.58   edit     danmaku.us PmWikiZhCn.SideBar "" "YisouSpider"
2016-06-14 00:37:48 68.180.228.122  browse   danmaku.us Acfun2.1063 "" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
2016-06-14 00:41:23 42.156.139.102  edit     danmaku.us PmWikiCs.PmWikiCs "" "YisouSpider"
2016-06-14 00:45:44 42.156.139.102  diff     danmaku.us Acfun2.1071 "" "YisouSpider"
2016-06-14 00:46:44 42.156.139.58   browse   danmaku.us Queue.RecentChanges "" "YisouSpider"
2016-06-14 01:12:06 42.156.139.58   browse   danmaku.us Acfun2.1018 "" "YisouSpider"
2016-06-14 01:23:00 217.69.133.15   browse   danmaku.us Main.GroupHeader "" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
2016-06-14 01:33:56 123.125.71.82   browse   danmaku.us Acfun2.1025 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2016-06-14 01:53:48 42.156.139.42   print    direct.danmaku.us AcfunN1.1002 "" "YisouSpider"
2016-06-14 01:57:55 106.38.241.153  browse   danmaku.us . "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2016-06-14 01:58:05 106.38.241.153  browse   danmaku.us AcfunN1.GroupFooter "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2016-06-14 01:58:15 106.38.241.153  browse   danmaku.us PmWiki.AccessKeys "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2016-06-14 01:58:25 106.38.241.153  browse   danmaku.us Bilibili2.1078 "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2016-06-14 01:58:36 106.38.241.153  browse   danmaku.us PmWiki.GroupHeaders "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2016-06-14 01:58:46 106.38.241.153  browse   danmaku.us Acfun2.1151 "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2016-06-14 02:18:12 113.241.168.60  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2016-06-14 02:18:12 113.241.168.60  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2016-06-14 02:37:59 42.156.139.58   browse   danmaku.us Acfun2.1042 "" "YisouSpider"
2016-06-14 02:46:08 171.208.58.199  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2016-06-14 02:46:08 171.208.58.199  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2016-06-14 02:46:56 66.249.66.145   browse   danmaku.us Acfun2.1054 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2016-06-14 02:49:45 42.156.136.42   print    direct.danmaku.us Acfun2.1014 "" "YisouSpider"
2016-06-14 02:58:39 68.180.228.122  browse   danmaku.us Acfun2.1027 "" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
2016-06-14 03:15:00 42.156.139.58   browse   danmaku.us PmWiki.LayoutVariables "" "YisouSpider"
2016-06-14 03:29:48 112.12.137.167  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; SLCC2; Media Center PC 6.0)"
2016-06-14 03:29:48 112.12.137.167  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; SLCC2; Media Center PC 6.0)"
2016-06-14 03:35:55 117.57.194.120  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30)"
2016-06-14 03:35:55 117.57.194.120  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30)"
2016-06-14 03:37:55 180.162.142.35  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)"
2016-06-14 03:37:55 180.162.142.35  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)"
