2015-07-14 00:07:57 182.118.21.252  diff     danmaku.us Acfun2.1009 "http://danmaku.us/Acfun2/1009?action=diff" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-07-14 00:09:26 182.118.21.242  diff     danmaku.us Acfun2.1016 "http://danmaku.us/Acfun2/1016?action=diff&minor=y" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-07-14 00:11:27 101.226.169.195 edit     direct.danmaku.us Bilibili2.1064 "http://direct.danmaku.us/Bilibili2/1064?action=edit" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-07-14 00:11:45 182.118.25.226  login    danmaku.us Acfun2.1022 "http://danmaku.us/Acfun2/1022?action=login" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-07-14 00:12:54 182.118.21.241  edit     danmaku.us Acfun2.1134 "http://danmaku.us/Acfun2/1134?action=edit" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-07-14 00:13:13 101.226.169.214 edit     direct.danmaku.us Acfun2.1146 "http://direct.danmaku.us/Acfun2/1146?action=edit" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-07-14 00:15:15 182.118.22.203  diff     danmaku.us Acfun2.1117 "http://danmaku.us/Acfun2/1117?action=diff&minor=n&source=n" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-07-14 00:16:46 182.118.25.208  browse   danmaku.us Acfun2.1133 "http://danmaku.us/Acfun2/1133?Player=acold" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-07-14 00:16:56 101.226.166.242 diff     danmaku.us Acfun2.1128 "http://danmaku.us/Acfun2/1128?action=diff&minor=n&source=n" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-07-14 00:16:56 101.226.166.235 browse   danmaku.us Acfun2.1111 "http://danmaku.us/Acfun2/1111" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-07-14 00:17:24 101.226.169.212 edit     direct.danmaku.us Acfun2.HomePage "http://direct.danmaku.us/Acfun2/HomePage?action=edit" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
